generated_code,is_quality_issue,quality_info,MultipleVariableDeclarations,AvoidReassigningParameters,ForLoopCanBeForeach
"import java.util.*;  class Solution {     public List<String> restoreIpAddresses(String s) {         List<String> res = new ArrayList<>();         dfs(res, s, """", 0, 0);         return res;     }          public void dfs(List<String> res, String s, String curr, int segment, int start) {         if (segment == 4 && start == s.length()) {             res.add(curr);             return;         }         if (segment == 4 || start == s.length()) return;                  for (int i = start; i < s.length(); i++) {             if (i != start && s.charAt(start) == '0') break;             String temp = s.substring(start, i+1);             if (Integer.parseInt(temp) > 255) break;             if (curr.isEmpty()) dfs(res, s, temp, segment+1, i+1);             else dfs(res, s, curr+"".""+temp, segment+1, i+1);         }     } }",0,,0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */  class Solution {     public List<TreeNode> generateTrees(int n) {         if (n == 0) {             return new ArrayList<TreeNode>();         }         return buildTrees(1,n);     }          public List<TreeNode> buildTrees(int start, int end) {         List<TreeNode> result = new ArrayList<TreeNode>();         if (start > end) {             result.add(null);             return result;         }         for (int i = start; i <= end; i++) {             List<TreeNode> leftSubtrees = buildTrees(start, i-1);             List<TreeNode> rightSubtrees = buildTrees(i+1, end);             for (TreeNode left : leftSubtrees) {                 for (TreeNode right : rightSubtrees) {                     TreeNode root = new TreeNode(i);                     root.left = left;                     root.right = right;                     result.add(root);                 }             }         }         return result;     } }",0,,0,0,0
class Solution {     public int numTrees(int n) {         int[] dp = new int[n+1];         dp[0] = 1;         dp[1] = 1;         for(int i=2; i<=n; i++){             for(int j=0; j<i; j++){                 dp[i] += dp[j]*dp[i-j-1];             }         }         return dp[n];     } },0,,0,0,0
"class Solution {     public boolean isInterleave(String s1, String s2, String s3) {         int n1 = s1.length();         int n2 = s2.length();         int n = s3.length();         if(n1 + n2 != n)             return false;         boolean[][] dp = new boolean[n1+1][n2+1];                  for(int i = 0; i <= n1; i++){             for(int j = 0; j <= n2; j++){                 if(i == 0 && j == 0)                     dp[i][j] = true;                 else if(i == 0)                     dp[i][j] = dp[i][j-1] && (s2.charAt(j-1) == s3.charAt(i+j-1));                 else if(j == 0)                     dp[i][j] = dp[i-1][j] && (s1.charAt(i-1) == s3.charAt(i+j-1));                 else                     dp[i][j] = (dp[i-1][j] && s1.charAt(i-1) == s3.charAt(i+j-1)) || (dp[i][j-1] && s2.charAt(j-1) == s3.charAt(i+j-1));             }         }         return dp[n1][n2];     } }",0,,0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {          public boolean isValidBST(TreeNode root) {         return isValidBST(root, Long.MIN_VALUE, Long.MAX_VALUE);     }          private boolean isValidBST(TreeNode root, long minVal, long maxVal) {         if (root == null) {             return true;         }                  if (root.val <= minVal || root.val >= maxVal) {             return false;         }                  return isValidBST(root.left, minVal, root.val) && isValidBST(root.right, root.val, maxVal);     } }",0,,0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     private TreeNode prev, first, second;      public void recoverTree(TreeNode root) {         // initialize variables         prev = first = second = null;          // inorder traversal to detect the misplaced nodes         inorder(root);          // swap the values of the misplaced nodes         int temp = first.val;         first.val = second.val;         second.val = temp;     }      private void inorder(TreeNode curr) {         if (curr == null) {             return;         }          // traverse left         inorder(curr.left);          // check if the current node is misplaced         if (prev != null && prev.val > curr.val) {             // first misplaced node should be the larger one             // second misplaced node should be the smaller one             if (first == null) {                 first = prev;             }             second = curr;         }          prev = curr;          // traverse right         inorder(curr.right);     } }",1,"099-recover-binary-search-tree/TreeNode.java:17:5: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
099-recover-binary-search-tree/TreeNode.java:21:22: Inner assignments should be avoided. [InnerAssignment]
099-recover-binary-search-tree/TreeNode.java:21:31: Inner assignments should be avoided. [InnerAssignment]
099-recover-binary-search-tree/TreeNode.java:17:5: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
099-recover-binary-search-tree/TreeNode.java:21:22: Inner assignments should be avoided. [InnerAssignment]
099-recover-binary-search-tree/TreeNode.java:21:31: Inner assignments should be avoided. [InnerAssignment]
099-recover-binary-search-tree/TreeNode.java:17:	SingularField:	Perhaps 'second' could be replaced by a local variable.
099-recover-binary-search-tree/TreeNode.java:21:	NullAssignment:	Assigning an Object to null is a code smell.  Consider refactoring.
",1,0,0
class Solution {     public boolean isValid(String s) {                  //Declare an empty stack          Stack<Character> stack = new Stack<>();                  for(char c : s.toCharArray()) {                          if(c == 'c') { // If the character is 'c' then it should be preceded by 'b' and 'a' in the stack                                  if(stack.isEmpty() || stack.pop() != 'b') return false;                 if(stack.isEmpty() || stack.pop() != 'a') return false;             }              else { // If the character is 'a' or 'b' insert it to the stack                                  stack.push(c);             }         }                  return stack.isEmpty();     } },1,"1003-check-if-word-is-valid-after-substitutions/Solution.java:13:13: '}' at column 13 should be on the same line as the next part of a multi-block statement (one that directly contains multiple blocks: if/else-if/else, do/while or try/catch/finally). [RightCurly]
1003-check-if-word-is-valid-after-substitutions/Solution.java:13:13: '}' at column 13 should be on the same line as the next part of a multi-block statement (one that directly contains multiple blocks: if/else-if/else, do/while or try/catch/finally). [RightCurly]
",0,0,0
"class Solution {     public int longestOnes(int[] nums, int k) {         int max = 0, zeroCount = 0, left = 0;                  for (int right = 0; right < nums.length; right++) {             if (nums[right] == 0) {                 zeroCount++;             }                          while (zeroCount > k) {                 if (nums[left] == 0) {                     zeroCount--;                 }                 left++;             }                          max = Math.max(max, right - left + 1);         }                  return max;     } }",1,"1004-max-consecutive-ones-iii/Solution.java:3:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
1004-max-consecutive-ones-iii/Solution.java:3:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
",1,0,0
class Solution {     public int clumsy(int n) {         if(n == 1) return 1;         if(n == 2) return 2;         if(n == 3) return 6;         int result = n * (n-1) / (n-2);         int i = n-3;         while(i > 0) {             if(i-3 >= 0) result -= i * (i-1) / (i-2);             else {                 if(i == 2) result -= 2;                 else if(i == 1) result -= 1;             }             i -= 4;         }         return result;     } },0,,0,0,0
"class Solution {     public int minDominoRotations(int[] tops, int[] bottoms) {                  int[] topsCount = new int[7];         int[] bottomsCount = new int[7];         int[] sameCount = new int[7];         int n = tops.length;         for(int i = 0; i < n; i++){             topsCount[tops[i]]++;             bottomsCount[bottoms[i]]++;             if(tops[i] == bottoms[i]){                 sameCount[tops[i]]++;             }         }         for(int i = 1; i <= 6; i++){             if(topsCount[i] + bottomsCount[i] - sameCount[i] == n){                 return n - Math.max(topsCount[i], bottomsCount[i]);             }         }         return -1;     } }",0,,0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public TreeNode bstFromPreorder(int[] preorder) {         if (preorder == null || preorder.length == 0) {             return null;         }         return bstFromPreorder(preorder, 0, preorder.length - 1);     }          private TreeNode bstFromPreorder(int[] preorder, int start, int end) {         if (start > end) {             return null;         }         TreeNode root = new TreeNode(preorder[start]);         if (start == end) {             return root;         }         int i;         for (i = start + 1; i <= end; i++) {             if (preorder[i] > root.val) {                 break;             }         }         root.left = bstFromPreorder(preorder, start + 1, i - 1);         root.right = bstFromPreorder(preorder, i, end);         return root;     } }",0,,0,0,0
public class Solution {     public int numPairsDivisibleBy60(int[] time) {         int count = 0;         int[] mod = new int[60]; // store the frequency of remainder                  for(int t : time) {             int remainder = t % 60;             int seek = (60 - remainder) % 60;             // check how many counter-part songs there are.             count += mod[seek];              // update the frequency of current remainder             mod[remainder] += 1;         }         return count;     } },0,,0,0,0
"class Solution {     public int shipWithinDays(int[] weights, int days) {         int maxWeight = 0;         int sumWeight = 0;         for(int weight: weights) {             sumWeight += weight;             maxWeight = Math.max(maxWeight, weight);         }         int left = maxWeight;         int right = sumWeight;                  while(left<right){             int mid = left + (right-left)/2;             int tempWeight = 0;             int tempDays = 1;             for(int weight: weights){                 if(tempWeight+weight>mid){                     tempDays++;                     tempWeight = weight;                 } else {                     tempWeight += weight;                 }             }                          if(tempDays>days){                 left = mid+1;             } else {                 right = mid;             }         }         return left;     } }",0,,0,0,0
"class Solution {     public int maxScoreSightseeingPair(int[] values) {         int maxScore = 0;         int maxLeftValue = values[0];                  for (int j = 1; j < values.length; j++) {             maxScore = Math.max(maxScore, maxLeftValue + values[j] - j);             maxLeftValue = Math.max(maxLeftValue, values[j] + j);         }                  return maxScore;     } }",0,,0,0,0
class Solution {     public int smallestRepunitDivByK(int k) {         if (k == 1) {             return 1;         }         int remainder = 0;         for (int length = 1; length <= k; length++) {             remainder = (remainder * 10 + 1) % k;             if (remainder == 0) {                 return length;             }         }         return -1;     } },0,,0,0,0
"class Solution {     public boolean queryString(String s, int n) {                  // loop through the range [1...n]         for(int i=1;i<=n;i++){             // get the binary representation of i             String binary = Integer.toBinaryString(i);             // check if the binary representation is a substring of s             if(!s.contains(binary)){                 return false;             }         }                  return true;     } }",0,,0,0,0
"class Solution {     public String baseNeg2(int n) {         if(n == 0) {    // special case when n is zero             return ""0"";         }                  StringBuilder sb = new StringBuilder();     // to build the binary string         while(n != 0) {     // keep dividing until quotient is zero             int remainder = n % (-2);     // use the negative base value (-2) to calculate remainder             n /= -2;        // divide with negative base value (-2)                          if(remainder < 0) {     // if remainder is negative, add 2 to make it positive                 remainder += 2;                 n += 1;     // carry 1 to next bit             }                          sb.insert(0, remainder);    // append remainder at the beginning of string         }                  return sb.toString();     } }",1,"1017-convert-to-base-2/Solution.java:10:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'n'
",0,1,0
"/**  * Definition for singly-linked list.  * public class ListNode {  *     int val;  *     ListNode next;  *     ListNode() {}  *     ListNode(int val) { this.val = val; }  *     ListNode(int val, ListNode next) { this.val = val; this.next = next; }  * }  */ class Solution {     public int[] nextLargerNodes(ListNode head) {         // First, count the number of nodes in the list         int count = 0;         ListNode current = head;         while (current != null) {             count++;             current = current.next;         }                  // Create an integer array to store the answer         int[] answer = new int[count];         Arrays.fill(answer, 0);                  // Use a stack to keep track of nodes with potential larger values         Stack<Integer> stack = new Stack<>();         int index = 0;                  // Traverse the list         current = head;         while (current != null) {             // If the current node's value is larger than the top of the stack,             // it is the next greater node for all nodes in the stack.             while (!stack.isEmpty() && current.val > answer[stack.peek()]) {                 answer[stack.pop()] = current.val;             }                          // Add the current node to the stack.             stack.push(index);             index++;             current = current.next;         }                  return answer;     } }",0,,0,0,0
"import java.util.*;  /**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public List<List<Integer>> levelOrder(TreeNode root) {         List<List<Integer>> result = new ArrayList<>();         if (root == null)             return result;                  Queue<TreeNode> queue = new LinkedList<>();         queue.add(root);                  while (!queue.isEmpty()) {             int levelSize = queue.size();             List<Integer> currentLevel = new ArrayList<>();             for (int i = 0; i < levelSize; i++) {                 TreeNode currentNode = queue.poll();                 currentLevel.add(currentNode.val);                 if (currentNode.left != null)                     queue.add(currentNode.left);                 if (currentNode.right != null)                     queue.add(currentNode.right);             }             result.add(currentLevel);         }                  return result;     } }",0,,0,0,0
"class Solution {     public int numEnclaves(int[][] grid) {         int n = grid.length;         int m = grid[0].length;         for(int i=0;i<n;i++)         {             if(grid[i][0]==1)             {                 DFS(grid,i,0);             }             if(grid[i][m-1]==1)             {                 DFS(grid,i,m-1);             }         }         for(int j=0;j<m;j++)         {             if(grid[0][j]==1)             {                 DFS(grid,0,j);             }             if(grid[n-1][j]==1)             {                 DFS(grid,n-1,j);             }         }         int res = 0;         for(int i=0;i<n;i++)         {             for(int j=0;j<m;j++)             {                 if(grid[i][j]==1)                 {                     res++;                 }             }         }         return res;     }     public void DFS(int[][] grid,int i,int j)     {         int n = grid.length;         int m = grid[0].length;         if(i<0 || i>=n || j<0 || j>=m || grid[i][j]!=1)         {             return;         }         grid[i][j] = -1;         DFS(grid,i+1,j);         DFS(grid,i-1,j);         DFS(grid,i,j+1);         DFS(grid,i,j-1);     } }",1,"1020-number-of-enclaves/Solution.java:6:9: '{' at column 9 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:8:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:12:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:17:9: '{' at column 9 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:19:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:23:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:29:9: '{' at column 9 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:31:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:33:17: '{' at column 17 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:41:5: '{' at column 5 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:45:9: '{' at column 9 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:6:9: '{' at column 9 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:8:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:12:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:17:9: '{' at column 9 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:19:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:23:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:29:9: '{' at column 9 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:31:13: '{' at column 13 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:33:17: '{' at column 17 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:41:5: '{' at column 5 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:45:9: '{' at column 9 should be on the previous line. [LeftCurly]
1020-number-of-enclaves/Solution.java:40:	MethodNamingConventions:	The instance method name 'DFS' doesn't match '[a-z][a-zA-Z0-9]*'
",0,0,0
"import java.util.ArrayList; import java.util.List;  class Solution {     public List<Boolean> camelMatch(String[] queries, String pattern) {         List<Boolean> result = new ArrayList<>();          for (String query : queries) {             int i = 0;             boolean match = true;              for (char ch : query.toCharArray()) {                 if (i < pattern.length() && ch == pattern.charAt(i)) {                     i++;                 } else if (ch >= 'A' && ch <= 'Z') {                     match = false;                     break;                 }             }              if (i != pattern.length()) {                 match = false;             }              result.add(match);         }          return result;     } }",0,,0,0,0
"class Solution {     public int videoStitching(int[][] clips, int time) {         // Sort clips array based on their starting time         Arrays.sort(clips, (a, b) -> Integer.compare(a[0], b[0]));          // Initialize variables         int end = 0, furthest = 0, count = 0;          // Loop through clips array         for (int[] clip : clips) {             // If clip starts after the furthest point or time has been covered             if (clip[0] > furthest || end >= time) {                 break; // We cannot reach the end from here             }                          // Update end to the maximum end of all clips starting before or at furthest point             while (count < clips.length && clips[count][0] <= furthest) {                 end = Math.max(end, clips[count][1]);                 count++;             }                          // If we have covered the time, return the count             if (end >= time) {                 return count;             }                          // If we cannot extend from this clip, we need to switch clips             if (end < clip[0]) {                 break;             }                          // Update furthest point to this clip's end             furthest = clip[1];         }                  return -1; // If we reach here, it means we cannot cover the time     } }",1,"1024-video-stitching/Solution.java:7:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
1024-video-stitching/Solution.java:7:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
",1,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     int maxDiff = 0;          public int maxAncestorDiff(TreeNode root) {         // call recursive function for root                 maxAncestorDiff(root, root.val, root.val);         return maxDiff;     }          private void maxAncestorDiff(TreeNode node, int maxAncestor, int minAncestor){         if(node == null)             return;         //update maxDiff if the difference between node.val and maxAncestor is greater         if(node.val - minAncestor > maxDiff)             maxDiff = node.val - minAncestor;                //update maxDiff if the difference between node.val and minAncestor is greater         else if(maxAncestor - node.val > maxDiff)             maxDiff = maxAncestor - node.val;                   //update maxAncestor and minAncestor values accordingly.         //call the recursive function for left and right subtrees         maxAncestor = Math.max(maxAncestor, node.val);         minAncestor = Math.min(minAncestor, node.val);                  maxAncestorDiff(node.left, maxAncestor, minAncestor);         maxAncestorDiff(node.right, maxAncestor, minAncestor);     } }",1,"1026-maximum-difference-between-node-and-ancestor/TreeNode.java:17:9: Variable 'maxDiff' must be private and have accessor methods. [VisibilityModifier]
1026-maximum-difference-between-node-and-ancestor/TreeNode.java:17:9: Variable 'maxDiff' must be private and have accessor methods. [VisibilityModifier]
1026-maximum-difference-between-node-and-ancestor/TreeNode.java:37:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'maxAncestor'
1026-maximum-difference-between-node-and-ancestor/TreeNode.java:38:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'minAncestor'
",0,1,0
"class Solution {     public int longestArithSeqLength(int[] nums) {         int n = nums.length;         int[][] dp = new int[n][1001];         int res = 2;         for (int i = 0; i < n; i++) {             for (int j = 0; j < i; j++) {                 int diff = nums[i] - nums[j] + 500;                 dp[i][diff] = dp[j][diff] + 1;                 res = Math.max(res, dp[i][diff] + 1);             }         }         return res;     } }",0,,0,0,0
"class Solution {     public int twoCitySchedCost(int[][] costs) {         // Sort the arrays by the difference of cost to minimize expense          Arrays.sort(costs, (a, b) -> (a[0] - a[1]) - (b[0] - b[1]));                  int n = costs.length;         int minCost = 0;                  // Calculate the minimum cost         for (int i = 0; i < n / 2; i++) {             minCost += costs[i][0] + costs[i + n / 2][1];         }                  return minCost;     } }",1,"1029-two-city-scheduling/Solution.java:4:	UselessParentheses:	Useless parentheses.
",0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {     public List<List<Integer>> zigzagLevelOrder(TreeNode root) {         List<List<Integer>> zigzagOrder = new ArrayList<>();         if (root == null) {             return zigzagOrder;         }         Queue<TreeNode> nodeQueue = new LinkedList<>();         nodeQueue.offer(root);         boolean leftToRight = true;         while (!nodeQueue.isEmpty()) {             int size = nodeQueue.size();             List<Integer> levelOrder = new ArrayList<>(size);             for (int i = 0; i < size; i++) {                 TreeNode node = nodeQueue.poll();                 if (leftToRight) {                     levelOrder.add(node.val);                 } else {                     levelOrder.add(0, node.val);                 }                 if (node.left != null) {                     nodeQueue.offer(node.left);                 }                 if (node.right != null) {                     nodeQueue.offer(node.right);                 }             }             zigzagOrder.add(levelOrder);             leftToRight = !leftToRight;         }         return zigzagOrder;     } }",0,,0,0,0
"class Solution {     public int maxSumTwoNoOverlap(int[] nums, int firstLen, int secondLen) {         int[] prefixSum = new int[nums.length + 1];         for (int i = 0; i < nums.length; i++) {             prefixSum[i + 1] = prefixSum[i] + nums[i];         }         int maxSum = 0;         for (int i = firstLen, j = secondLen; i + j <= nums.length; i++, j++) {             int firstSum = prefixSum[i] - prefixSum[0];             int secondSum = prefixSum[j] - prefixSum[i];             int thirdSum = prefixSum[nums.length] - prefixSum[j];             for (int k = firstLen + secondLen; k <= nums.length; k++) {                 int tempSum = Math.max(firstSum + prefixSum[k] - prefixSum[i], secondSum + prefixSum[k] - prefixSum[j]);                 maxSum = Math.max(maxSum, tempSum + thirdSum - (prefixSum[k] - prefixSum[firstLen + secondLen]));             }         }         return maxSum;     } }",1,"1031-maximum-sum-of-two-non-overlapping-subarrays/Solution.java:8:	ForLoopVariableCount:	Too many control variables in the for statement
",0,0,0
"class Solution {     public int[] numMovesStones(int a, int b, int c) {         // Sort the stones in ascending order         int[] stones = {a, b, c};         Arrays.sort(stones);                  // Calculate minimum moves         int minMoves = 0;         if (stones[1] - stones[0] == 1 && stones[2] - stones[1] == 1) {             // Stones are already in consecutive positions             minMoves = 0;         } else if (stones[1] - stones[0] <= 2 || stones[2] - stones[1] <= 2) {             // Move any stone to the middle of the other two             minMoves = 1;         } else {             // Move one stone to the middle of the other two, and then move the other stone to the middle             minMoves = 2;         }                  // Calculate maximum moves         int maxMoves = (stones[2] - stones[0]) - 2;                  // Return result         return new int[]{minMoves, maxMoves};     } }",1,"1033-moving-stones-until-consecutive/Solution.java:8:	UnusedAssignment:	The initializer for variable 'minMoves' is never used (overwritten on lines 11, 14 and 17)
1033-moving-stones-until-consecutive/Solution.java:21:	UselessParentheses:	Useless parentheses.
",0,0,0
"class Solution {     public int[][] colorBorder(int[][] grid, int row, int col, int color) {         int m = grid.length;         int n = grid[0].length;         boolean[][] visited = new boolean[m][n]; // to keep track of visited cells         dfs(grid, row, col, visited, grid[row][col]);         for(int i=0; i<m; i++) {             for(int j=0; j<n; j++) {                 if(visited[i][j]) { // if the cell is visited                     if(i==0 || i==m-1 || j==0 || j==n-1 || grid[i-1][j]==-1 || grid[i][j-1]==-1 || grid[i+1][j]==-1 || grid[i][j+1]==-1) {                         // if it's a cell in the border or the adjacent cells are outside the border, change the color                         grid[i][j] = color;                     }                 }             }         }         return grid;     }          public void dfs(int[][] grid, int row, int col, boolean[][] visited, int targetColor) {         int m = grid.length;         int n = grid[0].length;         int[][] directions = {{-1,0},{0,1},{1,0},{0,-1}}; // up, right, down, left         if(row<0 || col<0 || row>=m || col>=n) return; // if index out of bounds         if(visited[row][col]) return; // if cell is already visited         if(grid[row][col]!=targetColor) return; // if cell color is not the same as the targetColor         visited[row][col] = true; // mark cell as visited         int cnt = 0; // count of adjacent cells with the same color         for(int[] dir: directions) {             int r = row + dir[0];             int c = col + dir[1];             if(r>=0 && c>=0 && r<m && c<n && grid[r][c]==targetColor) {                 cnt++;             }         }         if(cnt<4) { // if the cell is a border cell             grid[row][col] = -1; // mark the cell as -1 (to differentiate it from the cells inside the connected component)         }         for(int[] dir: directions) {             dfs(grid, row+dir[0], col+dir[1], visited, targetColor); // recursive call on the neighbors         }     } }",1,"1034-coloring-a-border/Solution.java:10:	CollapsibleIfStatements:	This if statement could be combined with its parent
1034-coloring-a-border/Solution.java:20:	NPathComplexity:	The method 'dfs(int[][], int, int, boolean[][], int)' has an NPath complexity of 560, current threshold is 200
1034-coloring-a-border/Solution.java:23:	PrematureDeclaration:	Declaration of 'directions' can be moved closer to its usages
",0,0,0
"class Solution {     public int maxUncrossedLines(int[] nums1, int[] nums2) {         int[][] dp = new int[nums1.length + 1][nums2.length + 1];         for (int i = 1; i <= nums1.length; i++) {             for (int j = 1; j <= nums2.length; j++) {                 if (nums1[i - 1] == nums2[j - 1]) {                     dp[i][j] = dp[i - 1][j - 1] + 1;                 } else {                     dp[i][j] = Math.max(dp[i - 1][j], dp[i][j - 1]);                 }             }         }         return dp[nums1.length][nums2.length];     } }",0,,0,0,0
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {          private int sum = 0;          public TreeNode bstToGst(TreeNode root) {         if(root == null) return null;         // traverse right subtree first         bstToGst(root.right);         // update value of current node         root.val += sum;         sum = root.val;         // traverse left subtree         bstToGst(root.left);         return root;     }      }",0,,0,0,0
"class Solution {     public int minScoreTriangulation(int[] values) {         int n = values.length;         int[][] dp = new int[n][n];         for (int gap = 2; gap < n; gap++) {             for (int i = 0, j = gap; j < n; i++, j++) {                 dp[i][j] = Integer.MAX_VALUE;                 for (int k = i + 1; k < j; k++) {                     dp[i][j] = Math.min(dp[i][j], dp[i][k] + dp[k][j] + (values[i] * values[j] * values[k]));                 }             }         }         return dp[0][n-1];     } }",1,"1039-minimum-score-triangulation-of-polygon/Solution.java:6:	ForLoopVariableCount:	Too many control variables in the for statement
",0,0,0
"class Solution {     public int[] numMovesStonesII(int[] stones) {         Arrays.sort(stones);   //sorting array         int n = stones.length, i = 0, mini = n;   //initializing variables         int maxi = Math.max(stones[n - 1] - n + 2 - stones[1], stones[n - 2] - stones[0] - n + 2);         for (int j = 0; j < n; ++j) {             while (stones[j] - stones[i] >= n)   //removing smallest stone                  ++i;             if (j - i + 1 == n - 1 && stones[j] - stones[i] == n - 2)  //checking end                  mini = Math.min(mini, 2);             else                 mini = Math.min(mini, n - (j - i + 1));   //finding minimum moves         }         return new int[] { mini, maxi };     } }",1,"1040-moving-stones-until-consecutive-ii/Solution.java:4:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
1040-moving-stones-until-consecutive-ii/Solution.java:4:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
",1,0,0
"class Solution {     public boolean isRobotBounded(String instructions) {                  // Initialize robot orientation         int x = 0, y = 0;         int currDir = 0;    // 0 - North, 1 - East, 2 - South, 3 - West                  // Initialize robot movements         int[][] directions = {{0, 1}, {1, 0}, {0, -1}, {-1, 0}};    // North, East, South, West         int i = 0;                  // Execute robot instructions         while (i < instructions.length()) {             char c = instructions.charAt(i);             if (c == 'G') {                 x += directions[currDir][0];                 y += directions[currDir][1];             } else if (c == 'L') {                 currDir = (currDir + 3) % 4;    // +3 => 90 degrees anti-clockwise             } else if (c == 'R') {                 currDir = (currDir + 1) % 4;    // +1 => 90 degrees clockwise             }             i++;         }                  // Check if robot returns to initial position, or if robot ends up facing in a different direction         return ((x == 0 && y == 0) || (currDir != 0));     } }",1,"1041-robot-bounded-in-circle/Solution.java:5:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
1041-robot-bounded-in-circle/Solution.java:5:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
1041-robot-bounded-in-circle/Solution.java:27:	UselessParentheses:	Useless parentheses.
",1,0,0
